prate,mrate,totpart,totelg,age,totemp,sole,ltotemp
26.1,.20999999,1653,6322,8,8709,0,9.0721121
100,1.42,262,262,6,315,1,5.7525725
97.599998,.91000003,166,170,10,275,1,5.6167712
100,.41999999,257,257,7,500,0,6.2146082
82.5,.52999997,591,716,28,933,1,6.8384051
100,1.8200001,92,92,7,143,1,4.9628448
100,.52999997,399,399,31,628,1,6.4425402
92.5,.34,210,227,13,823,0,6.7129564
100,.22,234,234,21,279,1,5.6312118
96.800003,.60000002,120,124,10,141,1,4.94876
83,.5,156,188,5,252,0,5.529429
100,1.11,187,187,20,237,1,5.46806
65.5,.43000001,350,534,5,681,1,6.5235624
84.900002,.50999999,1519,1790,10,2557,0,7.84659
100,.19,150,150,7,187,1,5.2311087
100,.41,160,160,7,188,1,5.2364421
100,.83999997,3448,3448,13,4120,0,8.3236084
77.599998,.46000001,225,290,15,341,0,5.8318825
100,.44999999,519,519,15,598,0,6.3935909
100,1.13,176,176,8,273,1,5.6094718
66.900002,.47999999,79,118,5,224,1,5.4116459
100,.38999999,270,270,7,415,0,6.0282784
70.300003,.20999999,201,286,7,361,0,5.8888779
100,.94999999,381,381,23,422,0,6.0450053
51.299999,.34,284,554,9,797,1,6.6808548
61.299999,.36000001,171,279,15,2102,1,7.6506448
88.300003,.95999998,3858,4371,28,4371,0,8.3827467
100,.87,143,143,8,143,1,4.9628448
82.900002,4.1999998,107,129,7,131,1,4.8751974
77.800003,.079999998,770,990,6,1042,0,6.9488974
100,.91000003,179,179,6,312,1,5.7430034
90.099998,.44,2803,3110,6,3543,0,8.1727295
85.300003,.62,93,109,13,158,0,5.0625949
100,.28,425,425,7,458,0,6.1268692
100,.58999997,2027,2027,7,2442,0,7.8005729
75.599998,.30000001,438,579,11,1721,0,7.4506607
100,.56,584,584,7,685,1,6.5294189
100,.64999998,1284,1284,5,1559,0,7.3518
100,1.3099999,109,109,37,297,1,5.6937323
78.199997,.20999999,1017,1301,7,2125,0,7.6615272
