Strike,Expiry,Type,Vol,Open_Int,Underlying_Price
47.5,1/20/2017,put,277,739,96.69
47.5,1/19/2018,call,2,1,96.69
47.5,1/19/2018,put,2,375,96.69
50,2/5/2016,call,1,0,96.69
50,3/18/2016,call,4,0,96.69
50,3/18/2016,put,3,575,96.69
50,5/20/2016,call,1,0,96.69
50,5/20/2016,put,8,82,96.69
50,6/17/2016,put,6,11,96.69
50,7/15/2016,call,20,0,96.69
50,7/15/2016,put,50,57,96.69
50,10/21/2016,call,53,0,96.69
50,10/21/2016,put,3,99,96.69
50,1/20/2017,call,458,2165,96.69
50,1/20/2017,put,30,9927,96.69
50,6/16/2017,call,1,1,96.69
50,6/16/2017,put,1,1,96.69
50,1/19/2018,call,1,2131,96.69
50,1/19/2018,put,10,862,96.69
55,2/5/2016,call,7,0,96.69
55,2/19/2016,call,41,29,96.69
55,2/19/2016,put,135,4690,96.69
55,3/18/2016,put,6,8922,96.69
55,4/15/2016,call,53,42,96.69
55,4/15/2016,put,4,2395,96.69
55,5/20/2016,put,2,2,96.69
55,6/17/2016,call,460,2,96.69
55,6/17/2016,put,70,1776,96.69
55,7/15/2016,call,20,0,96.69
55,7/15/2016,put,1,161,96.69
55,10/21/2016,call,7,0,96.69
55,10/21/2016,put,5,232,96.69
55,1/20/2017,call,2200,2146,96.69
55,1/20/2017,put,79,6750,96.69
55,6/16/2017,call,15,15,96.69
55,6/16/2017,put,10,10,96.69
55,1/19/2018,call,1,1962,96.69
55,1/19/2018,put,5,2037,96.69
60,2/19/2016,call,43,12,96.69
60,2/19/2016,put,1,7095,96.69
60,3/18/2016,call,40,7,96.69
60,3/18/2016,put,10,1021,96.69
60,4/15/2016,call,570,153,96.69
60,4/15/2016,put,1,2756,96.69
60,5/20/2016,put,26,73,96.69
60,6/17/2016,call,13,51,96.69
60,6/17/2016,put,18,3649,96.69
60,7/15/2016,call,25,20,96.69
60,7/15/2016,put,30,216,96.69
60,10/21/2016,call,7,78,96.69
60,10/21/2016,put,105,1345,96.69
60,1/20/2017,call,20,8086,96.69
60,1/20/2017,put,160,10536,96.69
60,6/16/2017,call,3,3,96.69
60,6/16/2017,put,5,211,96.69
60,1/19/2018,call,1,2968,96.69
60,1/19/2018,put,1,2168,96.69
65,2/19/2016,call,45,1,96.69
65,2/19/2016,put,3,2090,96.69
65,2/26/2016,put,4,13,96.69
65,3/18/2016,call,1000,1,96.69
65,3/18/2016,put,14,1498,96.69
65,4/15/2016,call,1360,17,96.69
65,4/15/2016,put,11,1713,96.69
65,5/20/2016,call,2,0,96.69
65,5/20/2016,put,137,1733,96.69
65,6/17/2016,call,1,16,96.69
65,6/17/2016,put,34,2349,96.69
65,7/15/2016,call,2,102,96.69
65,7/15/2016,put,35,1092,96.69
65,10/21/2016,call,14,57,96.69
65,10/21/2016,put,167,1675,96.69
65,1/20/2017,call,2,3968,96.69
65,1/20/2017,put,353,9823,96.69
65,6/16/2017,call,46,46,96.69
65,1/19/2018,call,1,134,96.69
65,1/19/2018,put,5,1193,96.69
70,2/5/2016,call,40,1,96.69
70,2/5/2016,put,13,428,96.69
70,2/12/2016,put,1,32,96.69
70,2/19/2016,call,5,45,96.69
70,2/19/2016,put,30,3480,96.69
70,2/26/2016,call,20,0,96.69
70,2/26/2016,put,1,455,96.69
70,3/4/2016,put,3,41,96.69
70,3/18/2016,call,2260,69,96.69
70,3/18/2016,put,11,3086,96.69
70,4/15/2016,call,24,275,96.69
70,4/15/2016,put,82,1495,96.69
70,5/20/2016,call,1,14,96.69
70,5/20/2016,put,36,312,96.69
70,6/17/2016,call,50,190,96.69
70,6/17/2016,put,2,4139,96.69
70,7/15/2016,call,201,473,96.69
