respond,gift,resplast,weekslast,propresp,mailsyear,giftlast,avggift
0,0,0,143,.30000001,2.5,10,10
0,0,0,65.428574,.30000001,2.5,10,10
0,0,1,13.142858,.30000001,2.5,10,10
0,0,0,120.14286,.30000001,2.5,10,10
1,10,0,103.85714,.2,2.5,10,10
0,0,0,129.14285,.30000001,2.5,10,10
0,0,0,143,.30000001,2.5,10,10
0,0,0,103.85714,.5,2.5,5,6
0,0,1,13.142858,.30000001,2.5,10,10
1,5,0,51.285713,.5,2.5,5,5
0,0,0,103.85714,.30000001,2.5,10,10
0,0,0,103.85714,.30000001,2.5,10,10
0,0,0,26.142857,.222222,2.25,10,10
1,10,0,51.285713,.222222,2.25,10,10
0,0,0,26.142857,.33333299,2.25,10,10
0,0,0,158,.222222,2.25,5,7.5
0,0,0,26.142857,.30000001,2.5,10,10
0,0,0,103.85714,.30000001,2.5,10,10
0,0,0,103.85714,.40000001,2.5,10,8.75
1,2,0,26.142857,.66666698,2.25,5,5
1,3,1,13.142858,1,2.25,3,3
0,0,0,103.85714,.33333299,2.25,10,10
0,0,1,13.142858,.222222,2.25,10,17.5
0,0,0,77.14286,.222222,2.25,10,17.5
0,0,1,13.142858,.555556,2.25,5,5
1,5,1,13.142858,.66666698,2.25,5,5
0,0,1,13.142858,.33333299,2.25,10,11.666667
1,10,0,129.14285,.222222,2.25,10,10
0,0,0,51.285713,.5,2.5,10,6.8000026
0,0,0,65.428574,.2,2.5,15,15
0,0,0,26.142857,.60000002,2.5,7,5.3333335
0,0,0,103.85714,.222222,2.25,15,15
0,0,0,120.14286,.222222,2.25,10,15
0,0,0,103.85714,.30000001,2.5,10,10
0,0,0,143,.2,2.5,15,15
0,0,0,26.142857,.66666698,2.25,5,5
0,0,0,65.428574,.30000001,2.5,10,10
0,0,0,103.85714,.40000001,2.5,5,5
0,0,0,26.142857,.33333299,2.25,10,8.333333
0,0,0,103.85714,.2,2.5,10,10
0,0,0,129.14285,.1,2.5,25,25
0,0,0,103.85714,.2,2.5,15,12.5
0,0,0,51.285713,.2,2.5,15,12.5
0,0,0,143,.1,2.5,25,25
0,0,0,120.14286,.1,2.5,25,25
0,0,0,103.85714,.40000001,2.5,10,6.25
0,0,1,13.142858,.66666698,2.25,5,5
0,0,1,13.142858,.5,2.5,5,5
0,0,0,120.14286,.1,2.5,25,25
0,0,0,26.142857,.30000001,2.5,5,6.6666665
0,0,0,51.285713,.40000001,2.5,5,5
0,0,0,103.85714,.2,2.5,10,10
0,0,0,51.285713,.2,2.5,10,10
0,0,0,120.14286,.2,2.5,10,10
0,0,0,120.14286,.1,2.5,25,25
0,0,0,129.14285,.2,2.5,15,12.5
0,0,0,158,.2,2.5,10,15
0,0,0,77.14286,.60000002,2.5,5,5
0,0,0,143,.222222,2.25,15,15
0,0,1,13.142858,.30000001,2.5,10,11.666667
0,0,0,103.85714,.33333299,2.25,10,10
0,0,0,51.285713,.222222,2.25,10,10
0,0,0,143,.2,2.5,15,15
0,0,0,65.428574,.30000001,2.5,10,10
0,0,1,13.142858,.222222,2.25,15,15
0,0,0,65.428574,.2,2.5,10,12.5
0,0,0,143,.222222,2.25,10,15
0,0,0,129.14285,.2,2.5,15,12.5
0,0,0,65.428574,.5,2.5,5,5.4000001
0,0,0,51.285713,.5,2.5,5,5.4000001
1,5,0,103.85714,.30000001,2.5,7,7
0,0,0,51.285713,.40000001,2.5,5,6.25
0,0,1,13.142858,.30000001,2.5,10,8.333333
0,0,0,143,.30000001,2.5,10,10
0,0,1,13.142858,.222222,2.25,10,17.5
0,0,1,13.142858,.89999998,2.5,5,5
0,0,0,103.85714,.2,2.5,10,17.5
0,0,0,103.85714,.2,2.5,20,20
0,0,0,26.142857,.444444,2.25,10,10
0,0,0,103.85714,.5,2.5,10,8
0,0,0,26.142857,.2,2.5,15,20
0,0,0,120.14286,.40000001,2.5,10,10
0,0,0,120.14286,.2,2.5,25,20
1,10,0,129.14285,.33333299,2.25,10,10
0,0,0,143,.40000001,2.5,10,10
1,10,0,65.428574,.5,2.5,10,6
0,0,0,26.142857,.444444,2.25,10,10
0,0,1,13.142858,.444444,2.25,10,10
0,0,0,26.142857,.444444,2.25,10,10
1,5,0,26.142857,.60000002,2.5,5,5.8333335
1,10,0,65.428574,.33333299,2.25,10,10
0,0,1,13.142858,.40000001,2.5,10,10
0,0,0,65.428574,.40000001,2.5,10,10
0,0,0,168.42857,.2,2.5,25,20
0,0,1,13.142858,.40000001,2.5,10,10
0,0,0,65.428574,.2,2.5,10,10
0,0,0,51.285713,.5,2.5,5,9
0,0,1,13.142858,.222222,2.25,25,22.5
1,10,0,65.428574,.33333299,2.25,10,10
0,0,1,26.142857,.444444,2.25,15,11.25
0,0,0,51.285713,.222222,2.25,25,22.5
0,0,0,103.85714,.33333299,2.25,10,15
0,0,0,77.14286,.40000001,2.5,15,11.25
0,0,0,129.14285,.33333299,2.25,10,15
0,0,0,65.428574,.5,2.5,5,8
1,10,0,51.285713,.40000001,2.5,10,8.75
0,0,1,13.142858,.77777803,2.25,5,5.75
0,0,1,13.142858,.40000001,2.5,12,11
0,0,1,13.142858,.77777803,2.25,7,6.25
1,7,0,26.142857,.66666698,2.25,7,6
0,0,0,26.142857,.444444,2.25,15,8
0,0,0,51.285713,.30000001,2.5,10,10
0,0,0,65.428574,.40000001,2.5,10,10
0,0,0,103.85714,.40000001,2.5,10,10
1,10,0,103.85714,.33333299,2.25,10,8.333333
0,0,1,13.142858,.222222,2.25,15,12.5
0,0,0,65.428574,.5,2.5,10,7.4000001
0,0,0,39.285713,.40000001,2.5,10,10
0,0,0,103.85714,.40000001,2.5,10,10
1,5,1,13.142858,1,2.5,5,3.5
1,10,0,51.285713,.33333299,2.25,5,10
1,10,1,13.142858,.5,2.5,7,5.8000007
1,4,0,26.142857,.444444,2.25,5,8.75
0,0,0,65.428574,.2,2.5,10,10
0,0,0,26.142857,.60000002,2.5,5,6.1666665
0,0,0,51.285713,.40000001,2.5,10,10
0,0,0,129.14285,.2,2.5,25,17.5
0,0,0,103.85714,.2,2.5,10,17.5
1,10,0,65.428574,.33333299,2.75,5,8.333333
0,0,0,103.85714,.30000001,2.5,15,11.666667
1,15,0,65.428574,.2,2.5,10,10
1,10,0,51.285713,.30000001,2.5,10,10
0,0,0,65.428574,.40000001,2.5,10,10
0,0,0,65.428574,.30000001,2.5,10,13.333333
1,10,0,26.142857,.33333299,2.25,10,10
1,10,0,51.285713,.33333299,2.25,10,10
1,5,0,26.142857,.60000002,2.5,5,5
0,0,0,143,.2,2.5,25,20
1,5,1,13.142858,.60000002,2.5,5,5.8333335
1,10,0,26.142857,.33333299,2.25,10,10
0,0,1,13.142858,.40000001,2.5,10,10
0,0,0,65.428574,.40000001,2.5,15,10
0,0,1,13.142858,.33333299,2.25,10,10
0,0,0,51.285713,.40000001,2.5,10,10
0,0,1,13.142858,.33333299,2.25,10,10
1,10,0,26.142857,.222222,2.25,10,10
0,0,0,51.285713,.444444,2.25,10,10
