Date,Open,High,Low,Close,Volume,Adj Close
2015-03-04,34.450001,34.450001,33.970001,34.0,23392300,32.158424
2015-03-05,34.150002,34.200001,33.990002,34.0,14524100,32.158424
2015-03-06,33.580002,33.77,33.369999,33.48,39761500,31.666589
2015-03-09,33.450001,33.59,33.310001,33.349998,19465200,31.543629
2015-03-10,33.259998,33.259998,32.75,32.779999,32469500,31.004503
2015-03-11,32.880001,32.889999,32.52,32.619999,29021600,30.85317
2015-03-12,32.84,33.209999,32.700001,33.130001,27016800,31.335548
2015-03-13,32.990002,33.029999,32.599998,32.759998,26808000,30.985586
2015-03-16,32.790001,33.099998,32.68,33.060001,20531500,31.26934
2015-03-17,32.849998,33.119999,32.77,32.900002,23903200,31.118006
2015-03-18,32.93,33.59,32.689999,33.59,47849300,31.770632
2015-03-19,33.509998,33.509998,33.18,33.200001,19913700,31.401756
2015-03-20,33.27,33.599998,33.209999,33.23,38651800,31.43013
2015-03-23,33.369999,33.68,33.279999,33.279999,23983800,31.477421
2015-03-24,33.23,33.419998,33.07,33.07,20127200,31.278796
2015-03-25,33.02,33.110001,32.619999,32.619999,29163100,30.85317
2015-03-26,32.630001,33.130001,32.610001,32.82,30624200,31.042337
2015-03-27,32.939999,32.950001,32.700001,32.75,20852700,30.976129
2015-03-30,32.82,33.040001,32.799999,32.970001,18904300,31.184214
2015-03-31,32.970001,33.029999,32.650002,32.650002,27900200,30.881547
2015-04-01,32.619999,32.91,32.540001,32.889999,25365000,31.108546
2015-04-02,32.900002,33.23,32.82,33.130001,19273900,31.335548
2015-04-06,33.150002,33.41,33.060001,33.330002,22972500,31.524716
2015-04-07,33.349998,33.450001,33.16,33.16,24005000,31.363922
2015-04-08,32.73,32.849998,32.57,32.650002,21381200,31.325546
2015-04-09,32.580002,32.790001,32.439999,32.689999,21073700,31.363921
2015-04-10,32.77,32.830002,32.650002,32.77,15063600,31.440677
2015-04-13,32.759998,33.07,32.700001,32.880001,22731000,31.546216
2015-04-14,32.919998,32.93,32.619999,32.689999,18265100,31.363921
2015-04-15,32.709999,32.959999,32.639999,32.889999,19856000,31.555808
2015-04-16,32.759998,32.900002,32.700001,32.75,17597300,31.421488
2015-04-17,32.650002,32.700001,32.369999,32.509998,29716200,31.191222
2015-04-20,32.650002,32.869999,32.650002,32.830002,24314600,31.498245
